task_id	hash	native_id	process	tag	status	exit	attempt	submit	duration	realtime	%cpu	peak_rss	peak_vmem
3	df/d85360	63437872	PREPROCESS:CONCAT	R1	CACHED	0	1	2026-08-12 19:00:13.998	41m 19s	40m 41s	-	-	-
2	2a/fd33a0	63437868	PREPROCESS:CONCAT	R2	CACHED	0	1	2026-08-12 19:00:13.910	42m 18s	41m 10s	-	-	-
1	b2/c7121c	63437876	POSTPROCESS:BUILD_LIBRARY_DICT	-	CACHED	0	1	2026-08-12 19:00:14.128	38s	7ms	-	-	-
4	10/a9c1c2	63450240	PREPROCESS:FASTP_MERGE	-	CACHED	0	1	2026-08-12 19:42:32.998	3h 39m 5s	1h 48m 55s	-	-	-56	b8/b2c8a0	63481809	DELI:GenerateDecodeYaml	-	CACHED	0	1	2026-08-12 23:21:38.911	53.9s	6ms	-	-	-
7	12/cc963d	63481949	DELI:ExtractSequenceFiles	-	CACHED	0	1	2026-08-12 23:22:32.910	59.9s	13ms	-	-	-
8	cc/875ea0	64264046	DELI:DecodeChunk	merged.1.fastq.gz	COMPLETED	0	1	2026-08-17 17:58:44.619	3m 56s	3m 15s	96.5%	718.9 MB	1 GB
10	cd/d0857b	64264211	DELI:DecodeChunk	merged.3.fastq.gz	COMPLETED	0	1	2026-08-17 17:59:15.934	4m 25s	3m 17s	98.8%	717.7 MB	1 GB
11	b1/0792bc	64264227	DELI:DecodeChunk	merged.4.fastq.gz	COMPLETED	0	1	2026-08-17 17:59:31.486	4m 9s	3m 18s	98.8%	717.5 MB	1 GB
13	18/d3d1c7	64264329	DELI:DecodeChunk	merged.6.fastq.gz	COMPLETED	0	1	2026-08-17 18:00:02.361	4m 8s	3m 4s	97.0%	714.3 MB	1 GB
14	e9/0feadf	64264434	DELI:DecodeChunk	merged.7.fastq.gz	COMPLETED	0	1	2026-08-17 18:00:16.572	3m 59s	3m 7s	97.3%	717.9 MB	1 GB
9	3e/a52a5f	64264077	DELI:DecodeChunk	merged.2.fastq.gz	COMPLETED	0	1	2026-08-17 17:59:00.961	5m 45s	4m 26s	98.1%	719.3 MB	1 GB
12	3a/e7f2b6	64264231	DELI:DecodeChunk	merged.5.fastq.gz	COMPLETED	0	1	2026-08-17 17:59:47.390	4m 58s	3m 5s	96.9%	714.6 MB	1 GB
15	8c/788134	64264436	DELI:DecodeChunk	merged.8.fastq.gz	COMPLETED	0	1	2026-08-17 18:00:31.678	4m 14s	3m 5s	97.0%	717.3 MB	1 GB
19	6e/1d0948	64264523	DELI:DecodeChunk	merged.12.fastq.gz	COMPLETED	0	1	2026-08-17 18:01:31.471	4m 9s	3m 2s	98.0%	720 MB	1 GB
17	90/ce2665	64264518	DELI:DecodeChunk	merged.10.fastq.gz	COMPLETED	0	1	2026-08-17 18:01:01.988	5m 39s	4m 33s	98.7%	719.9 MB	1 GB
18	91/dfa39f	64264520	DELI:DecodeChunk	merged.11.fastq.gz	COMPLETED	0	1	2026-08-17 18:01:16.446	5m 24s	4m 29s	98.7%	719.7 MB	1 GB
25	da/b6c923	64264736	DELI:DecodeChunk	merged.18.fastq.gz	COMPLETED	0	1	2026-08-17 18:03:01.689	4m 14s	3m 2s	97.2%	720.1 MB	1 GB
26	6c/76a7c4	64264791	DELI:DecodeChunk	merged.19.fastq.gz	COMPLETED	0	1	2026-08-17 18:03:15.642	4m	3m 8s	97.0%	717.7 MB	1 GB
16	b2/ee86c3	64264440	DELI:DecodeChunk	merged.9.fastq.gz	COMPLETED	0	1	2026-08-17 18:00:46.759	6m 49s	4m 58s	88.3%	719.1 MB	1 GB
27	c8/971e78	64264801	DELI:DecodeChunk	merged.20.fastq.gz	COMPLETED	0	1	2026-08-17 18:03:30.604	4m 10s	3m 7s	96.7%	718.3 MB	1 GB
21	7a/f38347	64264631	DELI:DecodeChunk	merged.14.fastq.gz	COMPLETED	0	1	2026-08-17 18:02:01.854	6m 19s	4m 37s	98.4%	720.3 MB	1 GB
30	ee/055f16	64264912	DELI:DecodeChunk	merged.23.fastq.gz	COMPLETED	0	1	2026-08-17 18:04:15.391	4m 5s	3m 11s	98.6%	720.5 MB	1 GB
20	c6/247b66	64264527	DELI:DecodeChunk	merged.13.fastq.gz	COMPLETED	0	1	2026-08-17 18:01:47.549	6m 53s	5m 20s	98.4%	720.6 MB	1 GB
22	6c/fd15b1	64264654	DELI:DecodeChunk	merged.15.fastq.gz	COMPLETED	0	1	2026-08-17 18:02:15.843	6m 25s	5m 30s	99.0%	720.2 MB	1 GB
23	3f/e6c44f	64264660	DELI:DecodeChunk	merged.16.fastq.gz	COMPLETED	0	1	2026-08-17 18:02:31.916	6m 9s	5m 16s	97.9%	718.4 MB	1 GB
31	df/ab9314	64264917	DELI:DecodeChunk	merged.24.fastq.gz	COMPLETED	0	1	2026-08-17 18:04:30.222	4m 11s	3m 14s	98.7%	720.9 MB	1 GB
24	49/a7a467	64264663	DELI:DecodeChunk	merged.17.fastq.gz	COMPLETED	0	1	2026-08-17 18:02:45.742	6m 20s	4m 49s	97.6%	718.5 MB	1 GB
33	dc/21d2a3	64264985	DELI:DecodeChunk	merged.26.fastq.gz	COMPLETED	0	1	2026-08-17 18:05:00.609	4m 25s	3m	98.3%	720.8 MB	1 GB
34	d2/1facfe	64265004	DELI:DecodeChunk	merged.27.fastq.gz	COMPLETED	0	1	2026-08-17 18:05:14.575	4m 11s	3m 9s	95.2%	714.4 MB	1 GB
29	f9/32e8ac	64264874	DELI:DecodeChunk	merged.22.fastq.gz	COMPLETED	0	1	2026-08-17 18:04:00.481	5m 40s	4m 19s	98.4%	719.7 MB	1 GB
32	39/e66044	64264918	DELI:DecodeChunk	merged.25.fastq.gz	COMPLETED	0	1	2026-08-17 18:04:45.595	4m 55s	3m 22s	98.6%	718.5 MB	1 GB
35	66/b4d1e5	64265009	DELI:DecodeChunk	merged.28.fastq.gz	COMPLETED	0	1	2026-08-17 18:05:29.399	4m 11s	3m 8s	95.1%	713.6 MB	1 GB
40	84/8b25b1	64265120	DELI:DecodeChunk	merged.33.fastq.gz	COMPLETED	0	1	2026-08-17 18:06:43.767	4m 12s	2m 59s	98.8%	720.4 MB	1 GB
41	c0/7cc2b8	64265191	DELI:DecodeChunk	merged.34.fastq.gz	COMPLETED	0	1	2026-08-17 18:06:57.824	4m 13s	2m 58s	98.4%	720 MB	1 GB
42	b4/1ec79e	64265192	DELI:DecodeChunk	merged.35.fastq.gz	COMPLETED	0	1	2026-08-17 18:07:12.587	4m 3s	3m 6s	95.6%	720 MB	1 GB
28	14/b3c3dd	64264807	DELI:DecodeChunk	merged.21.fastq.gz	COMPLETED	0	1	2026-08-17 18:03:45.869	7m 40s	6m	97.8%	714.8 MB	1 GB
38	8d/a31d85	64265114	DELI:DecodeChunk	merged.31.fastq.gz	COMPLETED	0	1	2026-08-17 18:06:13.585	5m 32s	4m 29s	97.3%	718.2 MB	1 GB
43	4a/fdf25a	64265194	DELI:DecodeChunk	merged.36.fastq.gz	COMPLETED	0	1	2026-08-17 18:07:27.271	4m 18s	3m 4s	95.4%	720.8 MB	1 GB
47	65/ea3816	64265290	DELI:DecodeChunk	merged.40.fastq.gz	COMPLETED	0	1	2026-08-17 18:08:26.403	3m 39s	3m	98.7%	718.1 MB	1 GB
37	f4/1cec62	64265109	DELI:DecodeChunk	merged.30.fastq.gz	COMPLETED	0	1	2026-08-17 18:05:58.955	6m 12s	5m 5s	92.1%	716.1 MB	1 GB
